site_id,direction,day,hour,latitude,longitude,actual_count,predicted_count,signed_error
1,in,15,0,50.916183,4.456122,1.0,0.9014561296770656,0.09854387032293443
1,in,15,1,50.916183,4.456122,0.0,0.7653841384619597,-0.7653841384619597
1,in,15,2,50.916183,4.456122,0.0,0.7639355076381785,-0.7639355076381785
1,in,15,3,50.916183,4.456122,0.0,0.7639355076381785,-0.7639355076381785
1,in,15,4,50.916183,4.456122,1.0,0.826388735793885,0.17361126420611495
1,in,15,5,50.916183,4.456122,6.0,2.0017641556954975,3.9982358443045025
1,in,15,6,50.916183,4.456122,15.0,5.852180252095049,9.14781974790495
1,in,15,7,50.916183,4.456122,15.0,12.356064680471578,2.6439353195284223
1,in,15,8,50.916183,4.456122,15.0,12.356064680471578,2.6439353195284223
1,in,15,9,50.916183,4.456122,4.0,12.356064680471578,-8.356064680471578
1,in,15,10,50.916183,4.456122,0.0,12.356064680471578,-12.356064680471578
1,in,15,11,50.916183,4.456122,5.0,12.356064680471578,-7.356064680471578
1,in,15,12,50.916183,4.456122,11.0,12.356064680471578,-1.3560646804715777
1,in,15,13,50.916183,4.456122,11.0,12.356064680471578,-1.3560646804715777
1,in,15,14,50.916183,4.456122,5.0,12.356064680471578,-7.356064680471578
1,in,15,15,50.916183,4.456122,9.0,12.356064680471578,-3.3560646804715777
1,in,15,16,50.916183,4.456122,19.0,12.356064680471578,6.643935319528422
1,in,15,17,50.916183,4.456122,14.0,12.356064680471578,1.6439353195284223
1,in,15,18,50.916183,4.456122,18.0,12.356064680471578,5.643935319528422
1,in,15,19,50.916183,4.456122,5.0,4.313370539378161,0.6866294606218393
1,in,15,20,50.916183,4.456122,5.0,6.216551336814546,-1.216551336814546
1,in,15,21,50.916183,4.456122,3.0,2.9767788964259,0.0232211035740999
1,in,15,22,50.916183,4.456122,5.0,2.9767788964259,2.0232211035741
1,in,15,23,50.916183,4.456122,2.0,1.3218922646892326,0.6781077353107674
1,out,15,0,50.916183,4.456122,2.0,0.9014561296770656,1.0985438703229344
1,out,15,1,50.916183,4.456122,0.0,0.7653841384619597,-0.7653841384619597
1,out,15,2,50.916183,4.456122,0.0,0.7639355076381785,-0.7639355076381785
1,out,15,3,50.916183,4.456122,5.0,0.7639355076381785,4.236064492361821
1,out,15,4,50.916183,4.456122,3.0,0.826388735793885,2.173611264206115
1,out,15,5,50.916183,4.456122,5.0,2.0017641556954975,2.9982358443045025
1,out,15,6,50.916183,4.456122,9.0,5.852180252095049,3.1478197479049506
1,out,15,7,50.916183,4.456122,20.0,12.356064680471578,7.643935319528422
1,out,15,8,50.916183,4.456122,23.0,12.356064680471578,10.643935319528422
1,out,15,9,50.916183,4.456122,3.0,12.356064680471578,-9.356064680471578
1,out,15,10,50.916183,4.456122,3.0,12.356064680471578,-9.356064680471578
1,out,15,11,50.916183,4.456122,1.0,12.356064680471578,-11.356064680471578
1,out,15,12,50.916183,4.456122,5.0,12.356064680471578,-7.356064680471578
1,out,15,13,50.916183,4.456122,5.0,12.356064680471578,-7.356064680471578
1,out,15,14,50.916183,4.456122,8.0,12.356064680471578,-4.356064680471578
1,out,15,15,50.916183,4.456122,16.0,12.356064680471578,3.6439353195284223
1,out,15,16,50.916183,4.456122,15.0,12.356064680471578,2.6439353195284223
1,out,15,17,50.916183,4.456122,18.0,12.356064680471578,5.643935319528422
1,out,15,18,50.916183,4.456122,14.0,12.356064680471578,1.6439353195284223
1,out,15,19,50.916183,4.456122,10.0,4.313370539378161,5.686629460621839
1,out,15,20,50.916183,4.456122,7.0,6.216551336814546,0.783448663185454
1,out,15,21,50.916183,4.456122,5.0,2.9767788964259,2.0232211035741
1,out,15,22,50.916183,4.456122,1.0,2.9767788964259,-1.9767788964259
1,out,15,23,50.916183,4.456122,1.0,1.3218922646892326,-0.3218922646892326
2,in,15,0,51.27512,4.47169,1.0,2.3685914229198577,-1.3685914229198577
2,in,15,1,51.27512,4.47169,3.0,1.1233676229275928,1.8766323770724072
2,in,15,2,51.27512,4.47169,1.0,1.0518352799370936,-0.05183527993709358
2,in,15,3,51.27512,4.47169,2.0,1.0439686132615444,0.9560313867384556
2,in,15,4,51.27512,4.47169,6.0,1.8419672605340205,4.1580327394659795
2,in,15,5,51.27512,4.47169,17.0,6.474442607509929,10.525557392490072
2,in,15,6,51.27512,4.47169,47.0,16.508326508228627,30.491673491771373
2,in,15,7,51.27512,4.47169,121.0,45.74957143985694,75.25042856014306
2,in,15,8,51.27512,4.47169,161.0,49.216091085413346,111.78390891458665
2,in,15,9,51.27512,4.47169,30.0,16.799248467027883,13.200751532972117
2,in,15,10,51.27512,4.47169,17.0,16.799248467027883,0.20075153297211656
2,in,15,11,51.27512,4.47169,34.0,16.799248467027883,17.200751532972117
2,in,15,12,51.27512,4.47169,89.0,23.635482626388715,65.36451737361128
2,in,15,13,51.27512,4.47169,48.0,23.635482626388715,24.364517373611285
2,in,15,14,51.27512,4.47169,57.0,24.37272639133495,32.62727360866505
2,in,15,15,51.27512,4.47169,65.0,33.859197522094085,31.140802477905915
2,in,15,16,51.27512,4.47169,57.0,33.859197522094085,23.140802477905915
2,in,15,17,51.27512,4.47169,58.0,32.519387924470585,25.480612075529415
2,in,15,18,51.27512,4.47169,29.0,21.051980009893054,7.948019990106946
2,in,15,19,51.27512,4.47169,17.0,9.562264452162104,7.437735547837896
2,in,15,20,51.27512,4.47169,12.0,8.453722464753339,3.546277535246661
2,in,15,21,51.27512,4.47169,12.0,7.460970533694064,4.539029466305936
2,in,15,22,51.27512,4.47169,7.0,7.420366200147631,-0.4203662001476314
2,in,15,23,51.27512,4.47169,3.0,3.1490052134513347,-0.14900521345133466
2,out,15,0,51.27512,4.47169,0.0,2.3685914229198577,-2.3685914229198577
2,out,15,1,51.27512,4.47169,0.0,1.1233676229275928,-1.1233676229275928
2,out,15,2,51.27512,4.47169,0.0,1.0518352799370936,-1.0518352799370936
